date,close,volume,open,high,low
2013-03-22,19.796,29478338,19.482,19.804,19.419
2013-03-25,19.868,37494062,19.915,20.141,19.791
2013-03-26,19.763,22017267,19.947,19.965,19.737
2013-03-27,19.375,24531892,19.563,19.577,19.317
2013-03-28,18.971,33185532,19.278,19.364,18.927
2013-04-01,18.382,29150444,18.939,19.016,18.332
2013-04-02,18.42,39676635,18.326,18.777,18.274
2013-04-03,18.514,27165251,18.487,18.741,18.442
2013-04-04,18.331,26872448,18.59,18.643,18.225
2013-04-05,18.137,28717340,18.193,18.212,17.986
2013-04-08,18.266,22543758,18.208,18.321,18.107
2013-04-09,18.299,22978773,18.273,18.364,18.118
2013-04-10,18.672,28164977,18.347,18.731,18.258
2013-04-11,18.614,24619294,18.588,18.771,18.48
2013-04-12,18.42,17890260,18.606,18.606,18.39
2013-04-15,17.994,23730364,18.3,18.338,17.981
2013-04-16,18.267,22860942,18.067,18.283,18.024
2013-04-17,17.263,70828233,18.012,18.026,17.062
2013-04-18,16.802,49924491,17.357,17.391,16.703
2013-04-19,16.737,45639649,16.627,17.126,16.504
2013-04-22,17.086,32167809,16.827,17.237,16.769
2013-04-23,17.406,45147682,17.314,17.502,17.092
2013-04-24,17.377,72705759,16.866,17.796,16.821
2013-04-25,17.502,28787669,17.624,17.74,17.443
2013-04-26,17.88,57293330,17.563,17.947,17.496
2013-04-29,18.434,47978714,18.019,18.584,18.0
2013-04-30,18.976,51809808,18.647,19.082,18.517
2013-05-01,18.827,38008331,19.048,19.068,18.617
2013-05-02,19.094,31622859,18.933,19.225,18.884
2013-05-03,19.285,27086291,19.342,19.424,19.249
2013-05-06,19.745,37193825,19.53,19.809,19.47
2013-05-07,19.657,36140296,19.927,19.961,19.444
2013-05-08,19.879,35393368,19.673,19.944,19.535
2013-05-09,19.576,29834478,19.706,19.843,19.525
2013-05-10,19.413,25084591,19.627,19.702,19.306
2013-05-13,19.489,23764867,19.35,19.624,19.35
2013-05-14,19.023,33485223,19.451,19.509,18.949
2013-05-15,18.379,55550686,18.821,18.9,18.101
2013-05-16,18.625,45221308,18.139,18.765,17.953
2013-05-17,18.568,32089878,18.816,18.861,18.472
2013-05-20,18.983,33758875,18.51,19.106,18.433
2013-05-21,18.843,34175347,18.778,19.092,18.609
2013-05-22,18.915,33204831,19.031,19.215,18.781
2013-05-23,18.949,26471956,18.684,19.121,18.677
2013-05-24,19.078,20702709,18.894,19.1,18.873
2013-05-28,18.919,28893467,19.281,19.333,18.894
2013-05-29,19.069,24765979,18.857,19.179,18.831
2013-05-30,19.353,26506481,19.099,19.479,19.05
2013-05-31,19.274,28706420,19.393,19.59,19.264
2013-06-03,19.317,27870179,19.317,19.387,18.963
2013-06-04,19.256,21772596,19.424,19.476,19.174
2013-06-05,19.076,21757329,19.099,19.317,19.016
2013-06-06,18.791,31250235,19.092,19.157,18.602
2013-06-07,18.935,30324597,18.707,18.996,18.547
2013-06-10,18.81,33746842,19.06,19.246,18.72
2013-06-11,18.754,21454719,18.675,18.975,18.571
2013-06-12,18.522,19881170,18.836,18.911,18.493
2013-06-13,18.684,21434706,18.536,18.735,18.375
2013-06-14,18.431,20386589,18.66,18.698,18.364
2013-06-17,18.514,19435369,18.49,18.673,18.444
2013-06-18,18.504,14512598,18.495,18.639,18.438
2013-06-19,18.129,23307297,18.489,18.5,18.129
2013-06-20,17.864,26796407,17.97,18.256,17.793
2013-06-21,17.721,36063772,17.935,18.0,17.49
2013-06-24,17.252,36014107,17.46,17.514,17.059
2013-06-25,17.256,23559991,17.387,17.477,17.093
2013-06-26,17.06,27573554,17.31,17.348,16.957
2013-06-27,16.876,25271323,17.111,17.202,16.866
2013-06-28,16.994,43375470,16.773,17.154,16.666
2013-07-01,17.538,29320880,17.258,17.669,17.195
2013-07-02,17.935,35228308,17.57,18.07,17.549
2013-07-03,18.034,18069652,18.037,18.128,17.891
2013-07-05,17.889,20544810,18.017,18.141,17.801
2013-07-08,17.788,22342851,18.005,18.043,17.599
2013-07-09,18.101,26440666,17.726,18.15,17.588
2013-07-10,18.031,21019242,17.983,18.206,17.925
2013-07-11,18.312,24470152,18.126,18.354,18.05
2013-07-12,18.279,20959180,18.328,18.42,18.146
2013-07-15,18.319,18142197,18.215,18.491,18.206
2013-07-16,18.437,16208579,18.279,18.459,18.179
2013-07-17,18.442,14921243,18.416,18.524,18.352
2013-07-18,18.504,16397451,18.573,18.637,18.455
2013-07-19,18.212,20141181,18.561,18.599,18.186
2013-07-22,18.27,15573684,18.405,18.418,18.234
2013-07-23,17.957,26585840,18.257,18.298,17.945
2013-07-24,18.879,44371900,18.811,19.054,18.654
2013-07-25,18.793,17207442,18.887,18.917,18.678
2013-07-26,18.9,15006180,18.656,18.902,18.615
2013-07-29,19.191,18601921,18.891,19.285,18.866
2013-07-30,19.428,23172057,19.284,19.592,19.253
2013-07-31,19.394,24187471,19.5,19.6,19.261
2013-08-01,19.572,15415821,19.532,19.577,19.425
2013-08-02,19.823,20523386,19.629,19.836,19.571
2013-08-05,20.119,23873311,19.915,20.172,19.806
2013-08-06,19.939,25110925,20.058,20.224,19.807
2013-08-07,19.928,22386678,19.877,20.014,19.79
2013-08-08,19.758,19181937,19.88,19.89,19.626
2013-08-09,19.476,19993182,19.656,19.734,19.442
2013-08-12,20.03,27295262,19.58,20.085,19.57
2013-08-13,20.982,65835271,20.183,21.2,20.059
2013-08-14,21.364,56528111,21.338,21.611,21.146
2013-08-15,21.339,36716075,21.275,21.531,20.961
2013-08-16,21.528,27094355,21.435,21.555,21.38
2013-08-19,21.76,38220515,21.615,22.017,21.6
2013-08-20,21.474,26852603,21.845,21.882,21.464
2013-08-21,21.53,25134907,21.582,21.735,21.48
2013-08-22,21.555,18259942,21.642,21.668,21.351
2013-08-23,21.472,16667929,21.569,21.572,21.401
2013-08-26,21.556,24706318,21.461,21.866,21.45
2013-08-27,20.94,31754046,21.343,21.536,20.841
2013-08-28,21.038,23024028,20.829,21.249,20.829
2013-08-29,21.073,17941277,21.071,21.279,21.048
2013-08-30,20.881,20416094,21.086,21.126,20.85
2013-09-03,20.939,24890089,21.133,21.454,20.886
2013-09-04,21.372,25804807,21.41,21.525,21.269
2013-09-05,21.226,17633772,21.439,21.458,21.156
2013-09-06,21.352,26844644,21.362,21.402,20.998
2013-09-09,21.693,25343794,21.643,21.768,21.578
2013-09-10,21.199,55611607,21.694,21.748,20.979
2013-09-11,20.045,67251806,20.015,20.301,19.92
2013-09-12,20.258,30257040,20.079,20.374,19.972
2013-09-13,19.924,22348647,20.115,20.221,19.916
2013-09-16,19.291,40969185,19.757,19.783,19.167
2013-09-17,19.514,29911380,19.198,19.702,19.179
2013-09-18,19.915,34091011,19.851,19.986,19.743
2013-09-19,20.241,30243579,20.173,20.393,20.111
2013-09-20,20.032,52327647,20.486,20.509,19.971
2013-09-23,21.027,56982887,21.261,21.296,20.683
2013-09-24,20.961,27144419,21.209,21.234,20.907
2013-09-25,20.637,23703463,20.966,20.985,20.633
2013-09-26,20.838,17715235,20.829,20.938,20.739
2013-09-27,20.689,17036355,20.733,20.772,20.602
2013-09-30,20.432,19429495,20.454,20.643,20.332
2013-10-01,20.913,26458285,20.505,20.963,20.502
2013-10-02,20.981,21539748,20.813,21.077,20.732
2013-10-03,20.718,23640715,21.022,21.101,20.603
2013-10-04,20.701,19391426,20.737,20.769,20.511
2013-10-07,20.904,23366769,20.853,21.114,20.801
2013-10-08,20.612,21678159,20.997,21.027,20.595
